I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
107, 190, 82, -148, 12, 136, 214, 541, 507, 483, 341, 278, 
112, 204, 92, -158, 9, 148, 214, 546, 517, 483, 351, 283, 
117, 209, 92, -163, 12, 151, 219, 546, 512, 492, 356, 292, 
117, 209, 92, -163, 12, 151, 219, 551, 512, 497, 361, 292, 
117, 214, 97, -165, 9, 156, 219, 556, 517, 497, 366, 297, 
122, 224, 102, -173, 9, 163, 214, 551, 517, 502, 375, 297, 
117, 229, 112, -173, 2, 170, 214, 551, 522, 512, 385, 302, 
112, 234, 122, -173, -4, 178, 219, 561, 522, 522, 385, 302, 
122, 239, 117, -180, 2, 178, 219, 556, 527, 522, 385, 302, 
122, 253, 131, -187, -4, 192, 219, 551, 527, 522, 390, 302, 
117, 258, 141, -187, -12, 200, 224, 541, 527, 517, 390, 302, 
117, 258, 141, -187, -12, 200, 214, 531, 527, 522, 390, 312, 
126, 268, 141, -197, -7, 204, 204, 531, 522, 527, 395, 317, 
126, 278, 151, -202, -12, 214, 204, 527, 517, 517, 400, 317, 
122, 287, 165, -204, -21, 226, 204, 522, 512, 512, 405, 312, 
122, 283, 161, -202, -19, 222, 200, 517, 512, 517, 405, 317, 
122, 283, 161, -202, -19, 222, 195, 507, 512, 517, 400, 312, 
122, 287, 165, -204, -21, 226, 190, 497, 507, 517, 395, 307, 
117, 297, 180, -207, -31, 239, 185, 488, 502, 512, 395, 307, 
112, 297, 185, -204, -36, 241, 180, 473, 492, 502, 400, 312, 
117, 297, 180, -207, -31, 239, 180, 453, 478, 492, 395, 312, 
122, 307, 185, -214, -31, 246, 175, 444, 478, 483, 390, 302, 
117, 307, 190, -212, -36, 248, 170, 439, 473, 478, 385, 297, 
102, 297, 195, -200, -46, 246, 165, 424, 468, 473, 380, 292, 
107, 292, 185, -200, -39, 239, 161, 409, 453, 463, 370, 287, 
112, 287, 175, -200, -31, 231, 151, 390, 439, 444, 366, 273, 
102, 278, 175, -190, -36, 226, 161, 366, 424, 424, 346, 263, 
92, 268, 175, -180, -41, 222, 165, 351, 409, 414, 331, 258, 
92, 263, 170, -178, -39, 217, 161, 341, 395, 395, 317, 244, 
87, 258, 170, -173, -41, 214, 151, 322, 380, 375, 302, 234, 
82, 244, 161, -163, -39, 202, 146, 302, 356, 356, 283, 229, 
82, 239, 156, -161, -36, 197, 131, 287, 336, 331, 268, 209, 
82, 224, 141, -153, -29, 183, 117, 263, 322, 312, 248, 195, 
73, 204, 131, -139, -29, 168, 117, 239, 312, 287, 229, 180, 
63, 195, 131, -129, -34, 163, 117, 224, 292, 273, 214, 170, 
58, 185, 126, -122, -34, 156, 112, 204, 268, 253, 195, 156, 
53, 170, 117, -112, -31, 143, 102, 190, 244, 229, 185, 141, 
53, 156, 102, -104, -24, 129, 97, 175, 224, 209, 175, 126, 
53, 156, 102, -104, -24, 129, 92, 156, 209, 200, 161, 112, 
43, 141, 97, -92, -26, 119, 87, 146, 190, 180, 136, 102, 
34, 122, 87, -78, -26, 104, 78, 136, 180, 161, 126, 97, 
39, 112, 73, -75, -17, 92, 78, 122, 165, 146, 117, 92, 
34, 102, 68, -68, -17, 85, 73, 112, 151, 131, 102, 78, 
24, 87, 63, -56, -19, 75, 68, 102, 136, 112, 82, 68, 
19, 63, 43, -41, -12, 53, 63, 87, 122, 97, 78, 63, 
19, 53, 34, -36, -7, 43, 63, 73, 102, 78, 63, 53, 
9, 48, 39, -29, -14, 43, 63, 63, 87, 63, 43, 43, 
9, 43, 34, -26, -12, 39, 58, 53, 78, 53, 34, 39, 
14, 39, 24, -26, -4, 31, 53, 43, 68, 43, 29, 34, 
9, 24, 14, -17, -2, 19, 53, 39, 63, 24, 14, 19, 
4, 14, 9, -9, -2, 12, 53, 34, 53, 14, 9, 14, 
4, 4, 0, -4, 2, 2, 48, 29, 43, 14, 4, 14, 
0, -4, -4, 2, 2, -4, 34, 24, 34, 9, 0, 9, 
0, -4, -4, 2, 2, -4, 24, 19, 24, -4, -9, 0, 
9, -9, -19, 0, 14, -14, 24, 14, 14, -14, -14, 0, 
4, -14, -19, 4, 12, -17, 29, 0, 14, -19, -14, 0, 
0, -19, -19, 9, 9, -19, 39, -9, 9, -24, -14, 0, 
-4, -24, -19, 14, 7, -21, 48, -9, 4, -24, -19, -4, 
-4, -24, -19, 14, 7, -21, 43, -9, 4, -29, -24, -9, 
0, -19, -19, 9, 9, -19, 34, -9, 0, -29, -34, -14, 
-4, -24, -19, 14, 7, -21, 24, -14, -4, -34, -39, -14, 
-9, -34, -24, 21, 7, -29, 24, -19, -14, -48, -43, -19, 
-9, -34, -24, 21, 7, -29, 29, -24, -19, -53, -48, -19, 
-9, -34, -24, 21, 7, -29, 29, -24, -29, -53, -48, -19, 
-9, -34, -24, 21, 7, -29, 29, -29, -29, -53, -48, -19, 
-4, -29, -24, 17, 9, -26, 29, -29, -29, -58, -53, -29, 
0, -29, -29, 14, 14, -29, 39, -29, -34, -63, -53, -29, 
-9, -34, -24, 21, 7, -29, 34, -29, -34, -63, -53, -24, 
-19, -43, -24, 31, 2, -34, 29, -34, -34, -63, -53, -29, 
-19, -43, -24, 31, 2, -34, 29, -34, -39, -68, -58, -34, 
-14, -39, -24, 26, 4, -31, 24, -34, -43, -68, -58, -29, 
-14, -39, -24, 26, 4, -31, 24, -34, -43, -68, -58, -34, 
-14, -39, -24, 26, 4, -31, 24, -34, -48, -68, -58, -39, 
-14, -43, -29, 29, 7, -36, 24, -34, -48, -68, -58, -39, 
-14, -43, -29, 29, 7, -36, 19, -34, -48, -73, -63, -39, 
-14, -39, -24, 26, 4, -31, 19, -34, -43, -73, -63, -43, 
-14, -34, -19, 24, 2, -26, 19, -34, -43, -73, -63, -43, 
-14, -34, -19, 24, 2, -26, 14, -34, -43, -73, -63, -39, 
-14, -39, -24, 26, 4, -31, 14, -29, -43, -73, -58, -39, 
-19, -43, -24, 31, 2, -34, 19, -24, -39, -68, -48, -39, 
-24, -43, -19, 34, -2, -31, 19, -29, -43, -73, -53, -39, 
-19, -43, -24, 31, 2, -34, 24, -39, -43, -78, -58, -39, 
-19, -43, -24, 31, 2, -34, 29, -39, -43, -73, -53, -34, 
-24, -48, -24, 36, 0, -36, 29, -34, -43, -78, -58, -39, 
-19, -43, -24, 31, 2, -34, 24, -34, -39, -78, -63, -39, 
-14, -48, -34, 31, 9, -41, 29, -34, -39, -73, -58, -39, 
-9, -53, -43, 31, 17, -48, 29, -29, -39, -63, -58, -34, 
-4, -43, -39, 24, 17, -41, 19, -34, -39, -68, -63, -34, 
-9, -43, -34, 26, 12, -39, 19, -29, -43, -73, -63, -29, 
-4, -43, -39, 24, 17, -41, 14, -29, -43, -78, -63, -29, 
-4, -39, -34, 21, 14, -36, 14, -29, -39, -73, -58, -34, 
-14, -43, -29, 29, 7, -36, 24, -29, -29, -73, -58, -29, 
-24, -53, -29, 39, 2, -41, 43, -29, -34, -73, -53, -29, 
-24, -53, -29, 39, 2, -41, 39, -29, -39, -73, -53, -29, 
-14, -53, -39, 34, 12, -46, 34, -29, -34, -73, -53, -34, 
-14, -48, -34, 31, 9, -41, 34, -24, -29, -68, -58, -29, 
-9, -43, -34, 26, 12, -39, 34, -29, -34, -63, -58, -29, 
-9, -43, -34, 26, 12, -39, 24, -34, -34, -63, -58, -29, 
-14, -43, -29, 29, 7, -36, 24, -24, -24, -63, -58, -24, 
-14, -48, -34, 31, 9, -41, 24, -19, -19, -63, -53, -24, 
-9, -43, -34, 26, 12, -39, 14, -24, -29, -63, -48, -29, 
-9, -39, -29, 24, 9, -34, 14, -29, -34, -63, -53, -34, 
-14, -43, -29, 29, 7, -36, 19, -24, -24, -63, -58, -29, 
-14, -48, -34, 31, 9, -41, 24, -24, -14, -58, -53, -29, 
-4, -48, -43, 26, 19, -46, 34, -24, -24, -58, -48, -29, 
-4, -43, -39, 24, 17, -41, 29, -19, -34, -63, -48, -24, 
-4, -43, -39, 24, 17, -41, 29, -19, -29, -63, -43, -14, 
0, -43, -43, 21, 21, -43, 24, -19, -24, -58, -48, -19, 
0, -43, -43, 21, 21, -43, 29, -19, -14, -58, -48, -24, 
-4, -43, -39, 24, 17, -41, 34, -19, -14, -58, -48, -24, 
-4, -48, -43, 26, 19, -46, 29, -19, -24, -58, -48, -24, 
-14, -53, -39, 34, 12, -46, 29, -24, -29, -58, -48, -24, 
-14, -53, -39, 34, 12, -46, 29, -19, -24, -58, -53, -24, 
-9, -48, -39, 29, 14, -43, 29, -19, -19, -53, -53, -24, 
-4, -43, -39, 24, 17, -41, 24, -14, -19, -53, -48, -19, 
0, -43, -43, 21, 21, -43, 19, -19, -19, -58, -48, -24, 
-4, -48, -43, 26, 19, -46, 9, -19, -19, -58, -48, -24, 
-4, -48, -43, 26, 19, -46, 14, -19, -14, -53, -48, -24, 
-4, -43, -39, 24, 17, -41, 19, -19, -19, -48, -48, -29, 
-4, -53, -48, 29, 21, -51, 34, -19, -24, -53, -48, -24, 
-4, -58, -53, 31, 24, -56, 39, -19, -29, -53, -48, -19, 
0, -53, -53, 26, 26, -53, 29, -19, -34, -48, -48, -19, 
0, -48, -48, 24, 24, -48, 29, -19, -34, -48, -48, -14, 
0, -53, -53, 26, 26, -53, 34, -14, -29, -53, -48, -14, 
0, -58, -58, 29, 29, -58, 29, -14, -24, -53, -48, -24, 
-4, -58, -53, 31, 24, -56, 24, -19, -29, -58, -48, -29, 
0, -58, -58, 29, 29, -58, 29, -14, -29, -58, -43, -24, 
-4, -58, -53, 31, 24, -56, 29, -14, -29, -53, -39, -24, 
-9, -58, -48, 34, 19, -53, 19, -24, -34, -53, -43, -24, 
-4, -58, -53, 31, 24, -56, 14, -24, -39, -58, -48, -24, 
0, -58, -58, 29, 29, -58, 14, -19, -39, -63, -48, -24, 
4, -63, -68, 29, 36, -65, 14, -19, -34, -63, -48, -24, 
0, -63, -63, 31, 31, -63, 9, -29, -34, -63, -48, -34, 
-4, -68, -63, 36, 29, -65, 19, -29, -34, -63, -53, -29, 
-4, -68, -63, 36, 29, -65, 29, -29, -39, -63, -53, -24, 
-4, -68, -63, 36, 29, -65, 29, -29, -39, -68, -58, -29, 
-9, -68, -58, 39, 24, -63, 24, -24, -39, -73, -63, -29, 
-9, -68, -58, 39, 24, -63, 19, -24, -39, -68, -58, -29, 
-9, -68, -58, 39, 24, -63, 19, -24, -43, -68, -58, -29, 
-4, -73, -68, 39, 31, -70, 14, -24, -43, -68, -58, -29, 
0, -73, -73, 36, 36, -73, 19, -29, -43, -68, -63, -29, 
0, -68, -68, 34, 34, -68, 14, -29, -48, -73, -63, -34, 
-4, -73, -68, 39, 31, -70, 14, -29, -48, -78, -68, -34, 
0, -73, -73, 36, 36, -73, 14, -29, -43, -73, -68, -34, 
0, -73, -73, 36, 36, -73, 4, -34, -43, -68, -63, -34, 
-9, -73, -63, 41, 26, -68, 0, -29, -53, -68, -63, -34, 
-9, -78, -68, 43, 29, -73, 9, -29, -58, -73, -63, -34, 
-4, -78, -73, 41, 34, -75, 14, -29, -58, -73, -68, -39, 
-4, -73, -68, 39, 31, -70, 19, -34, -58, -73, -68, -34, 
-4, -78, -73, 41, 34, -75, 24, -39, -58, -73, -68, -34, 
-4, -78, -73, 41, 34, -75, 24, -39, -53, -73, -68, -39, 
-9, -78, -68, 43, 29, -73, 19, -39, -53, -78, -68, -39, 
-14, -78, -63, 46, 24, -70, 14, -39, -58, -82, -78, -43, 
-4, -78, -73, 41, 34, -75, 14, -39, -63, -87, -78, -43, 
-4, -78, -73, 41, 34, -75, 19, -34, -63, -82, -73, -43, 
-9, -78, -68, 43, 29, -73, 9, -34, -63, -78, -73, -43, 
-19, -78, -58, 48, 19, -68, 14, -43, -63, -78, -73, -43, 
-14, -78, -63, 46, 24, -70, 24, -43, -63, -82, -73, -43, 
-14, -78, -63, 46, 24, -70, 29, -43, -68, -82, -73, -39, 
-14, -82, -68, 48, 26, -75, 24, -43, -63, -82, -73, -39, 
-9, -82, -73, 46, 31, -78, 24, -43, -63, -82, -78, -48, 
-9, -82, -73, 46, 31, -78, 29, -43, -58, -82, -78, -48, 
-9, -82, -73, 46, 31, -78, 24, -43, -63, -82, -68, -43, 
-9, -82, -73, 46, 31, -78, 14, -39, -63, -87, -68, -43, 
-14, -87, -73, 51, 29, -80, 14, -34, -63, -92, -73, -43, 
-14, -87, -73, 51, 29, -80, 14, -39, -58, -92, -73, -48, 
-14, -102, -87, 58, 36, -95, 4, -39, -58, -87, -73, -43, 
-14, -102, -87, 58, 36, -95, 0, -39, -63, -92, -73, -43, 
-14, -97, -82, 56, 34, -90, 4, -39, -63, -97, -73, -48, 
-19, -97, -78, 58, 29, -87, 14, -43, -63, -97, -78, -48, 
-19, -97, -78, 58, 29, -87, 14, -39, -63, -92, -82, -43, 
-14, -92, -78, 53, 31, -85, 9, -34, -63, -87, -87, -43, 
-9, -92, -82, 51, 36, -87, 4, -34, -63, -87, -82, -43, 
-14, -87, -73, 51, 29, -80, 4, -39, -63, -87, -82, -48, 
-14, -92, -78, 53, 31, -85, 14, -39, -63, -92, -82, -53, 
-19, -97, -78, 58, 29, -87, 29, -39, -68, -97, -82, -53, 
-14, -97, -82, 56, 34, -90, 24, -39, -73, -97, -87, -48, 
-9, -87, -78, 48, 34, -82, 9, -48, -68, -92, -92, -48, 
-14, -87, -73, 51, 29, -80, 4, -48, -63, -87, -87, -48, 
-19, -87, -68, 53, 24, -78, 9, -48, -68, -87, -82, -48, 
-14, -92, -78, 53, 31, -85, 9, -53, -78, -92, -87, -48, 
-9, -92, -82, 51, 36, -87, 9, -53, -78, -102, -92, -48, 
-14, -92, -78, 53, 31, -85, 14, -48, -68, -102, -92, -48, 
-24, -97, -73, 61, 24, -85, 14, -43, -58, -97, -87, -48, 
-19, -97, -78, 58, 29, -87, 9, -43, -63, -87, -87, -43, 
-14, -97, -82, 56, 34, -90, 9, -48, -73, -92, -87, -48, 
-9, -97, -87, 53, 39, -92, 9, -53, -78, -102, -92, -53, 
-9, -97, -87, 53, 39, -92, 14, -48, -73, -102, -87, -48, 
-9, -97, -87, 53, 39, -92, 9, -48, -73, -97, -82, -48, 
-14, -102, -87, 58, 36, -95, 4, -48, -73, -97, -87, -48, 
-14, -107, -92, 61, 39, -100, 9, -43, -73, -102, -92, -43, 
-14, -117, -102, 65, 43, -109, 9, -43, -68, -102, -87, -48, 
-19, -117, -97, 68, 39, -107, 4, -43, -68, -97, -87, -53, 
-19, -112, -92, 65, 36, -102, 4, -43, -68, -92, -92, -48, 
-14, -112, -97, 63, 41, -104, 4, -34, -63, -87, -87, -43, 
-9, -112, -102, 61, 46, -107, 4, -39, -63, -92, -82, -43, 
-9, -102, -92, 56, 41, -97, 0, -43, -68, -97, -82, -43, 
-14, -102, -87, 58, 36, -95, 4, -43, -68, -97, -82, -48, 
-14, -107, -92, 61, 39, -100, 14, -43, -68, -92, -82, -48, 
-14, -112, -97, 63, 41, -104, 24, -43, -68, -92, -87, -48, 
-19, -122, -102, 70, 41, -112, 24, -43, -68, -92, -87, -48, 
-19, -117, -97, 68, 39, -107, 14, -39, -68, -97, -87, -48, 
-14, -107, -92, 61, 39, -100, 14, -43, -68, -97, -87, -43, 
-14, -102, -87, 58, 36, -95, 19, -43, -68, -87, -92, -43, 
-14, -97, -82, 56, 34, -90, 19, -43, -73, -92, -92, -43, 
-14, -92, -78, 53, 31, -85, 14, -48, -73, -97, -92, -43, 
-9, -97, -87, 53, 39, -92, 9, -43, -73, -97, -92, -48, 
-14, -102, -87, 58, 36, -95, 9, -39, -68, -97, -87, -53, 
-19, -102, -82, 61, 31, -92, 0, -43, -68, -92, -92, -53, 
-14, -97, -82, 56, 34, -90, -4, -43, -68, -97, -97, -53, 
-4, -97, -92, 51, 43, -95, 9, -43, -73, -102, -97, -58, 
-9, -102, -92, 56, 41, -97, 9, -53, -78, -107, -102, -63, 
-14, -102, -87, 58, 36, -95, 9, -53, -78, -107, -102, -58, 
-14, -102, -87, 58, 36, -95, 9, -48, -78, -97, -97, -58, 
-14, -107, -92, 61, 39, -100, 9, -48, -78, -92, -92, -53, 
-14, -107, -92, 61, 39, -100, 9, -48, -73, -102, -97, -53, 
-14, -107, -92, 61, 39, -100, 4, -43, -68, -107, -92, -53, 
-4, -107, -102, 56, 48, -104, 4, -34, -78, -107, -92, -53, 
-4, -107, -102, 56, 48, -104, 4, -34, -78, -102, -92, -53, 
-9, -112, -102, 61, 46, -107, 9, -39, -73, -97, -92, -58, 
-14, -117, -102, 65, 43, -109, 9, -43, -68, -102, -87, -53, 
-4, -112, -107, 58, 51, -109, 4, -53, -78, -102, -87, -48, 
-9, -107, -97, 58, 43, -102, 9, -48, -82, -102, -87, -48, 
-14, -107, -92, 61, 39, -100, 14, -43, -78, -97, -87, -53, 
-14, -102, -87, 58, 36, -95, 4, -43, -68, -97, -87, -53, 
-9, -97, -87, 53, 39, -92, -4, -48, -68, -102, -87, -53, 
-9, -97, -87, 53, 39, -92, 9, -39, -73, -97, -87, -53, 
-9, -97, -87, 53, 39, -92, 14, -39, -68, -92, -92, -53, 
-9, -92, -82, 51, 36, -87, 14, -39, -58, -87, -87, -48, 
-9, -78, -68, 43, 29, -73, 9, -29, -53, -87, -92, -48, 
-9, -68, -58, 39, 24, -63, 19, -24, -53, -82, -87, -48, 
-9, -63, -53, 36, 21, -58, 24, -19, -48, -82, -82, -43, 
-4, -53, -48, 29, 21, -51, 29, -24, -39, -78, -78, -39, 
-4, -53, -48, 29, 21, -51, 29, -24, -39, -78, -87, -43, 
-4, -58, -53, 31, 24, -56, 43, -19, -39, -82, -82, -48, 
-4, -58, -53, 31, 24, -56, 48, -14, -34, -78, -78, -43, 
-4, -53, -48, 29, 21, -51, 48, -19, -29, -73, -78, -39, 
0, -53, -53, 26, 26, -53, 39, -19, -34, -73, -73, -39, 
4, -53, -58, 24, 31, -56, 39, -19, -29, -68, -68, -39, 
0, -43, -43, 21, 21, -43, 43, -14, -24, -68, -68, -39, 
0, -39, -39, 19, 19, -39, 43, -14, -19, -68, -73, -39, 
4, -43, -48, 19, 26, -46, 48, -14, -19, -68, -73, -39, 
0, -48, -48, 24, 24, -48, 48, -9, -14, -58, -68, -34, 
0, -39, -39, 19, 19, -39, 53, -4, -14, -58, -68, -34, 
4, -29, -34, 12, 19, -31, 58, -4, -9, -63, -68, -39, 
4, -34, -39, 14, 21, -36, 53, -4, -14, -68, -58, -39, 
0, -34, -34, 17, 17, -34, 48, -4, -19, -68, -58, -34, 
4, -29, -34, 12, 19, -31, 43, -14, -19, -63, -63, -34, 
4, -19, -24, 7, 14, -21, 34, -24, -14, -58, -63, -34, 
0, -14, -14, 7, 7, -14, 24, -34, -14, -63, -58, -34, 
0, -14, -14, 7, 7, -14, 14, -39, -14, -68, -53, -29, 
4, -4, -9, 0, 7, -7, 9, -43, -24, -63, -53, -24, 
9, -4, -14, -2, 12, -9, -4, -53, -39, -63, -58, -24, 
9, -9, -19, 0, 14, -14, -14, -58, -39, -73, -63, -29, 
9, -9, -19, 0, 14, -14, -19, -58, -34, -73, -63, -29, 
9, -9, -19, 0, 14, -14, -14, -58, -39, -68, -63, -29, 
4, -14, -19, 4, 12, -17, -14, -58, -43, -68, -68, -29, 
4, -4, -9, 0, 7, -7, -4, -58, -39, -68, -68, -34, 
4, 4, 0, -4, 2, 2, 9, -53, -29, -68, -58, -29, 
9, 9, 0, -9, 4, 4, 9, -43, -24, -63, -53, -29, 
14, 14, 0, -14, 7, 7, -4, -43, -19, -58, -48, -24, 
14, 14, 0, -14, 7, 7, -9, -48, -24, -53, -48, -19, 
24, 24, 0, -24, 12, 12, -9, -53, -29, -53, -48, -14, 
39, 24, -14, -31, 26, 4, -14, -53, -39, -53, -48, -9, 
39, 14, -24, -26, 31, -4, -14, -53, -48, -58, -53, -9, 
34, 0, -34, -17, 34, -17, -14, -58, -53, -68, -58, -14, 
29, -14, -43, -7, 36, -29, -24, -63, -58, -73, -63, -19, 
24, -29, -53, 2, 39, -41, -24, -68, -68, -82, -68, -19, 
29, -48, -78, 9, 53, -63, -19, -68, -78, -82, -68, -14, 
29, -53, -82, 12, 56, -68, -9, -63, -78, -82, -68, -19, 
29, -53, -82, 12, 56, -68, -9, -58, -78, -82, -63, -24, 
24, -58, -82, 17, 53, -70, -14, -63, -78, -87, -68, -29, 
9, -68, -78, 29, 43, -73, -9, -53, -73, -82, -68, -29, 
-4, -87, -82, 46, 39, -85, 4, -43, -68, -78, -78, -34, 
-14, -102, -87, 58, 36, -95, 4, -43, -73, -92, -87, -48, 
-14, -117, -102, 65, 43, -109, 0, -48, -82, -102, -97, -53, 
-14, -126, -112, 70, 48, -119, 0, -48, -87, -102, -102, -53, 
-4, -122, -117, 63, 56, -119, -4, -58, -97, -102, -102, -58, 
-4, -117, -112, 61, 53, -114, -9, -58, -97, -107, -102, -58, 
-9, -117, -107, 63, 48, -112, -14, -53, -102, -112, -97, -58, 
-9, -117, -107, 63, 48, -112, -24, -58, -107, -112, -102, -63, 
-9, -117, -107, 63, 48, -112, -29, -63, -107, -112, -112, -73, 
-14, -126, -112, 70, 48, -119, -19, -58, -97, -122, -112, -73, 
-19, -136, -117, 78, 48, -126, -4, -58, -97, -122, -107, -63, 
-14, -136, -122, 75, 53, -129, 4, -63, -102, -117, -107, -63, 
-9, -136, -126, 73, 58, -131, -4, -63, -107, -122, -117, -68, 
-9, -136, -126, 73, 58, -131, -19, -58, -112, -131, -122, -73, 
-9, -141, -131, 75, 61, -136, -24, -63, -107, -126, -117, -73, 
-9, -141, -131, 75, 61, -136, -19, -63, -107, -122, -112, -68, 
-4, -136, -131, 70, 63, -134, -19, -58, -107, -122, -112, -68, 
-4, -136, -131, 70, 63, -134, -19, -63, -102, -122, -117, -68, 
-9, -141, -131, 75, 61, -136, -9, -63, -102, -122, -122, -68, 
-14, -146, -131, 80, 58, -139, 4, -58, -102, -126, -122, -68, 
-9, -141, -131, 75, 61, -136, 9, -58, -97, -126, -117, -68, 
-9, -136, -126, 73, 58, -131, 9, -58, -92, -117, -117, -63, 
-14, -136, -122, 75, 53, -129, 9, -58, -87, -112, -112, -63, 
-14, -141, -126, 78, 56, -134, 4, -48, -92, -117, -107, -63, 
-4, -136, -131, 70, 63, -134, 0, -48, -97, -117, -107, -63, 
0, -131, -131, 65, 65, -131, 4, -53, -97, -117, -112, -63, 
-9, -131, -122, 70, 56, -126, 9, -53, -87, -126, -112, -68, 
-9, -136, -126, 73, 58, -131, 4, -53, -92, -126, -112, -68, 
-9, -131, -122, 70, 56, -126, 0, -53, -87, -122, -107, -68, 
-14, -126, -112, 70, 48, -119, 0, -53, -87, -122, -107, -63, 
-14, -131, -117, 73, 51, -124, -4, -53, -87, -122, -112, -63, 
-9, -131, -122, 70, 56, -126, 0, -53, -97, -122, -112, -63, 
-19, -131, -112, 75, 46, -122, 19, -48, -97, -122, -112, -68, 
-19, -131, -112, 75, 46, -122, 29, -43, -87, -117, -107, -63, 
-9, -131, -122, 70, 56, -126, 24, -43, -82, -112, -107, -63, 
-14, -126, -112, 70, 48, -119, 14, -43, -82, -112, -112, -73, 
-19, -126, -107, 73, 43, -117, 14, -48, -87, -117, -117, -68, 
-19, -131, -112, 75, 46, -122, 14, -43, -82, -117, -117, -63, 
-14, -131, -117, 73, 51, -124, 9, -34, -73, -117, -112, -73, 
-14, -126, -112, 70, 48, -119, 14, -34, -78, -112, -107, -73, 
-19, -126, -107, 73, 43, -117, 14, -43, -87, -117, -112, -68, 
-19, -131, -112, 75, 46, -122, 14, -48, -87, -112, -112, -73, 
-14, -131, -117, 73, 51, -124, 19, -43, -87, -112, -117, -78, 
-14, -126, -112, 70, 48, -119, 14, -43, -82, -117, -117, -78, 
-19, -131, -112, 75, 46, -122, 14, -43, -82, -117, -112, -73, 
-19, -136, -117, 78, 48, -126, 19, -39, -82, -112, -112, -68, 
-19, -136, -117, 78, 48, -126, 29, -34, -82, -107, -117, -68, 
-19, -146, -126, 82, 53, -136, 29, -24, -78, -107, -112, -68, 
-9, -151, -141, 80, 65, -146, 34, 9, -63, -102, -102, -63, 
-4, -151, -146, 78, 70, -148, 48, 48, -24, -73, -97, -58, 
-4, -151, -146, 78, 70, -148, 68, 73, 24, -43, -92, -58, 
-9, -146, -136, 78, 63, -141, 87, 112, 78, -14, -82, -53, 
-4, -131, -126, 68, 61, -129, 102, 161, 131, 14, -68, -43, 
9, -102, -112, 46, 61, -107, 112, 195, 165, 63, -34, -24, 
24, -78, -102, 26, 63, -90, 117, 229, 209, 146, 29, 19, 
39, -53, -92, 7, 65, -73, 122, 273, 273, 258, 107, 73, 
63, -24, -87, -19, 75, -56, 131, 283, 331, 375, 195, 136, 
92, -4, -97, -43, 95, -51, 117, 239, 356, 478, 278, 195, 
107, 14, -92, -61, 100, -39, 92, 185, 390, 595, 366, 258, 
122, 53, -68, -87, 95, -7, 78, 141, 458, 756, 478, 322, 
141, 107, -34, -124, 87, 36, 63, 78, 522, 941, 610, 409, 
165, 180, 14, -173, 75, 97, 19, -24, 522, 1083, 741, 502, 
180, 244, 63, -212, 58, 153, -29, -151, 478, 1137, 824, 566, 
170, 302, 131, -236, 19, 217, -68, -322, 390, 1078, 839, 585, 
151, 366, 214, -258, -31, 290, -112, -556, 224, 902, 775, 556, 
122, 419, 297, -270, -87, 358, -204, -810, 4, 614, 644, 468, 
73, 463, 390, -268, -158, 427, -346, -1054, -209, 302, 458, 341, 
14, 527, 512, -270, -248, 519, -483, -1317, -434, -19, 278, 204, 
-63, 580, 644, -258, -353, 612, -590, -1595, -678, -351, 82, 63, 
-141, 585, 727, -222, -434, 656, -688, -1859, -936, -668, -126, -78, 
-204, 546, 751, -170, -478, 649, -800, -2093, -1210, -971, -346, -229, 
-253, 468, 722, -107, -488, 595, -897, -2274, -1464, -1239, -536, -356, 
-273, 390, 663, -58, -468, 527, -956, -2337, -1615, -1385, -658, -444, 
-278, 312, 590, -17, -434, 451, -971, -2283, -1625, -1415, -741, -512, 
-287, 248, 536, 19, -412, 392, -980, -2210, -1600, -1420, -819, -561, 
-287, 200, 488, 43, -387, 344, -995, -2142, -1581, -1400, -839, -580, 
-263, 151, 414, 56, -339, 283, -995, -2005, -1537, -1322, -805, -556, 
-244, 102, 346, 70, -295, 224, -941, -1834, -1449, -1220, -761, -531, 
-239, 82, 322, 78, -280, 202, -858, -1664, -1346, -1112, -702, -497, 
-224, 82, 307, 70, -265, 195, -780, -1483, -1229, -990, -624, -444, 
-190, 102, 292, 43, -241, 197, -702, -1307, -1098, -863, -531, -380, 
-151, 107, 258, 21, -204, 183, -639, -1132, -966, -741, -453, -322, 
-122, 87, 209, 17, -165, 148, -580, -995, -868, -658, -400, -273, 
-107, 63, 170, 21, -139, 117, -522, -878, -780, -595, -361, -244, 
-92, 39, 131, 26, -112, 85, -463, -780, -692, -522, -322, -219, 
-78, 14, 92, 31, -85, 53, -400, -668, -610, -458, -287, -190, 
-63, 0, 63, 31, -63, 31, -322, -551, -517, -400, -253, -165, 
-53, -4, 48, 29, -51, 21, -239, -429, -409, -336, -219, -146, 
-48, -9, 39, 29, -43, 14, -165, -322, -322, -283, -190, -126, 
-43, -19, 24, 31, -34, 2, -112, -248, -263, -244, -165, -112, 
-29, -19, 9, 24, -19, -4, -73, -190, -204, -209, -151, -97, 
-29, -24, 4, 26, -17, -9, -48, -146, -161, -175, -136, -82, 
-24, -34, -9, 29, -7, -21, -29, -102, -122, -141, -117, -68, 
-14, -43, -29, 29, 7, -36, -4, -68, -92, -122, -107, -58, 
-4, -53, -48, 29, 21, -51, 9, -34, -68, -107, -97, -53, 
-4, -53, -48, 29, 21, -51, 14, -9, -48, -87, -82, -48, 
